"ID","Date","Location","Tweet","Quoted Tweet Text",,,
"1222666472884973573","2020-01-29 23:42:57","North Las Vegas, NV","@EllisMate Get better mate! Beat that Corona virus down",,,,
"1222666452102107136","2020-01-29 23:42:52","NZ","The establishment released a statement last night basically mocking people who thought this was inappropriate marketing and said they think this is okay. Just looked and both posts have been taken down. Glad Corona doesn’t tolerate this shit. Places like this bring Hamilton down!",,,,
"1222666355746324481","2020-01-29 23:42:29","Long Beach, CA","i stg if corona ends up going global sumbody’s gunna tweet that fuckin dwight schrute ‘we need a new plague’ gif",,,,
"1222666265048821762","2020-01-29 23:42:08","Washington, DC","Rejection of Xenophobic Rumors about Novel Corona Virus https://t.co/uPXTiREH0c",,,,
"1222666259122159616","2020-01-29 23:42:06","Los Angeles, CA","Girlfriend Pours Bottles Of Corona Away To Stop Coronavirus https://t.co/qqic1g2hzs via @YouTube —— a break from politics 😜",,,,
"1222666254433095686","2020-01-29 23:42:05","Nederland","@nameofpens @fesshole Damn, this took me way too long to understand 🙃 I'm blaming the Corona virus",,,,
"1222666225685336064","2020-01-29 23:41:58","USA","Corona virus: Abuja Supermarket Shuts Down https://t.co/kZDeO18qzr via @https://twitter.com/war_desk",,,,
"1222666187181522948","2020-01-29 23:41:49","Garden City, MI","I am immunizing myself against Corona Virus. https://t.co/NMpUmmAjDr",,,,
"1222666107179241473","2020-01-29 23:41:30","Murrieta CA ","The Corona virus won’t last long because it was made in China 🇨🇳",,,,
"1222666099080286210","2020-01-29 23:41:28","BFLO NY","@AintNunToSee This how u get corona virus for fucks sake",,,,
"1222666080788844544","2020-01-29 23:41:24","Sioux Falls","@YourAnonNews What if Corona Extra was the antidote. Wouldn't that be wild",,,,
"1222666078716944391","2020-01-29 23:41:23","West Des Moines, IA","Yo I’m stupid I’m over here like “every time you cough in someone’s face a corona get its lime” 😂😂😷",,,,
