"ID","Date","Location","Tweet","Quoted Tweet Text",,
"1221944726934446080","2020-01-27 23:55:00","BOCONO","[DESCUBRA] Con este mapa de Google podrás ver en tiempo real casos del coronavirus https://t.co/sb9LqqsOa2",,,
"1221944717925023744","2020-01-27 23:54:58","San Salvador, El Salvador.","Las autoridades de Salud de El Salvador monitorean aeropuertos y fronteras para prevenir posibles casos de coronavirus. La periodista @jenniferhdzTCS nos amplía. (27 de enero ) #N4V 
https://t.co/50aHkxUJBB https://t.co/jFB9Uieo3f",,,
"1221944709221900288","2020-01-27 23:54:55","Rosario, Argentina","12 argentinos están en la ciudad china donde se originó el coronavirus- https://t.co/yLDbxcfOx4 #Radiofonica",,,
"1221944707653103616","2020-01-27 23:54:55","México","9.- Científico alemán crea inhibidores para contrarrestar nuevo coronavirus; hará pruebas en China
10.- El primer ministro de China, Li Keqiang, pide acelerar la construcción de un hospital provisional para atender a pacientes infectados con el nuevo coronavirus",,,
"1221944703731429376","2020-01-27 23:54:54","Xalapa, Veracruz de Ignacio de la Llave","De pronto y sin previo aviso, surge el héroe global...
El mismo juego selecciona al país que supuestamente trabaja para crear una cura y así vencerte (recuerda: TÚ eres el bichobmalo aquí)
1221944675357073408,2020-01-27 23:54:47,España,https://t.co/gtZrhymMCg. Preguntas y Respuestas sobre el Nuevo Coronavirus 2019-nCoV procedente de China... https://t.co/xP2jpuMW0z https://t.co/pk3KLBdtYB,
1221944659766726657,2020-01-27 23:54:44,México,""8.- Las autoridades chinas advirtieron este domingo que la capacidad de transmisión del coronavirus originado en la ciudad china de Wuhan se está fortaleciendo, por lo que los contagios podrían seguir aumentando en los próximos días",,,
"1221944655257985026","2020-01-27 23:54:43","Santo Domingo - Dominicano","Conozca las medidas adoptadas por embajada de China en RD como respuesta al coronavirus https://t.co/97aq8JnYok https://t.co/QTuOO3QiSY",,,
"1221944652133212161","2020-01-27 23:54:42","Lima","@xtina oye, hasta el coronavirus ha llegado a Lima antes que tú, ugh.",,,
"1221944651298607104","2020-01-27 23:54:42","Valencia, Venezuela","Perú: cuatro pacientes bajo sospecha de contagio por coronavirus https://t.co/KlcdcnxmF7 https://t.co/sUq49ARumn",,,
"1221944641110642693","2020-01-27 23:54:39","BOCONO","Con este mapa de Google podrás ver en tiempo real casos del coronavirus https://t.co/sb9LqqsOa2",,,
"1221944633950949376","2020-01-27 23:54:38","Caracas","Les voy a confesar algo: Ayer compré unas cosas que vienen de China y me da miedo que me de el Coronavirus porque leí que se contagia a través de objetos igual que una gripe! 😩😭 siento miedo!",,,
"1221944629408534529","2020-01-27 23:54:36","España","Supuestamente él nos dio el coronavirus 🤣 y nojvamo a molil 
Morrr no le temas a la muerte que en el infier también culiamos 🌹❤️
(Siempre romea)",,,
"1221944623830093826","2020-01-27 23:54:35","México","⚠️Confirman primer caso de coronavirus en Alemania (inf. @AFPespanol)",,,
"1221944591626059776","2020-01-27 23:54:27","México","7.-  El mexicano varado en Wuhan, Daniel Stamatis, pidió auxilio a los gobiernos de EUA y México para poder salir de Wuhan, pues teme ser contagiado de Coronavirus y reveló que la Embajada mexicana ya lo contactó y sigue a la espera de que autoridades mexicanas lo ayuden a salir",,,
